Code,API url
10a,for=us:{}
10b,for=us:{}
20a,for=region:{}
20b,for=region:{}
30a,for=division:{}
30b,for=division:{}
40a,for=state:{}
40b,for=state:{}
50a,for=county:{}
50b,for=county:{}&in=state:{}
50c,for=county:{}&in=state:{}
60a,for=county%20subdivision:{}&in=state:{}
60b,for=county%20subdivision:{}&in=state:{}&in=county:{}
60c,for=county%20subdivision:{}&in=state:{}%20county:{}
67a,for=subminor%20civil%20division:{}&in=state:{}%20county:{}%20county%20subdivision:{}
67b,for=subminor%20civil%20division:{}&in=state:{}%20county:{}%20county%20subdivision:{}
70a,for=place/remainder%20(or%20part):{}&in=state:{}%20county:{}%20county%20subdivision:{}
70b,for=place/remainder%20(or%20part):{}&in=state:{}%20county:{}%20county%20subdivision:{}
140a,for=tract:{}&in=state:{}
140b,for=tract:{}&in=state:{}&in=county:{}
140c,for=tract:{}&in=state:{}%20county:{}
150a,for=block%20group:{}&in=state:{}%20county:{}
150b,for=block%20group:{}&in=state:{}&in=county:{}&in=tract:{}
150c,for=block%20group:{}&in=state:{}%20county:{}%20tract:{}
155a,for=county%20(or%20part):{}&in=state:{}%20place:{}
155b,for=county%20(or%20part):{}&in=state:{}%20place:{}
160a,for=place:{}
160b,for=place:{}&in=state:{}
160c,for=place:{}&in=state:{}
170a,for=consolidated%20city:{}
170b,for=consolidated%20city:{}&in=state:{}
170c,for=consolidated%20city:{}&in=state:{}
172a,for=place%20(or%20part):{}&in=state:{}%20consolidated%20city:{}
172b,for=place%20(or%20part):{}&in=state:{}%20consolidated%20city:{}
230a,for=alaska%20native%20regional%20corporation:{}
230b,for=alaska%20native%20regional%20corporation:{}&in=state:{}
230c,for=alaska%20native%20regional%20corporation:{}&in=state:{}
250a,for=american%20indian%20area/alaska%20native%20area/hawaiian%20home%20land:{}
250b,for=american%20indian%20area/alaska%20native%20area/hawaiian%20home%20land:{}
251a,for=tribal%20subdivision/remainder:{}
251b,for=tribal%20subdivision/remainder:{}&in=american%20indian%20area/alaska%20native%20area/hawaiian%20home%20land:{}
251c,for=tribal%20subdivision/remainder:{}&in=american%20indian%20area/alaska%20native%20area/hawaiian%20home%20land:{}
252a,for=american%20indian%20area/alaska%20native%20area%20(reservation%20or%20statistical%20entity%20only):{}
252b,for=american%20indian%20area/alaska%20native%20area%20(reservation%20or%20statistical%20entity%20only):{}&in=american%20indian%20area/alaska%20native%20area/hawaiian%20home%20land:{}
252c,for=american%20indian%20area/alaska%20native%20area%20(reservation%20or%20statistical%20entity%20only):{}&in=american%20indian%20area/alaska%20native%20area/hawaiian%20home%20land:{}
254a,for=american%20indian%20area%20(off-reservation%20trust%20land%20only)/hawaiian%20home%20land:{}
254b,for=american%20indian%20area%20(off-reservation%20trust%20land%20only)/hawaiian%20home%20land:{}&in=american%20indian%20area/alaska%20native%20area/hawaiian%20home%20land:{}
254c,for=american%20indian%20area%20(off-reservation%20trust%20land%20only)/hawaiian%20home%20land:{}&in=american%20indian%20area/alaska%20native%20area/hawaiian%20home%20land:{}
256a,for=tribal%20census%20tract:{}&in=american%20indian%20area/alaska%20native%20area/hawaiian%20home%20land:{}
256b,for=tribal%20census%20tract:{}&in=american%20indian%20area/alaska%20native%20area/hawaiian%20home%20land:{}
258a,for=tribal%20block%20group:{}&in=american%20indian%20area/alaska%20native%20area/hawaiian%20home%20land:{}%20tribal%20census%20tract:{}
258b,for=tribal%20block%20group:{}&in=american%20indian%20area/alaska%20native%20area/hawaiian%20home%20land:{}%20tribal%20census%20tract:{}
260a,for=state%20(or%20part):{}&in=american%20indian%20area/alaska%20native%20area/hawaiian%20home%20land:{}
260b,for=state%20(or%20part):{}&in=american%20indian%20area/alaska%20native%20area/hawaiian%20home%20land:{}
269a,for=place%20(or%20part):{}&in=american%20indian%20area/alaska%20native%20area/hawaiian%20home%20land:{}%20state%20(or%20part):{}
269b,for=place%20(or%20part):{}&in=american%20indian%20area/alaska%20native%20area/hawaiian%20home%20land:{}%20state%20(or%20part):{}
270a,for=county%20(or%20part):{}&in=american%20indian%20area/alaska%20native%20area/hawaiian%20home%20land:{}%20state%20(or%20part):{}
270b,for=county%20(or%20part):{}&in=american%20indian%20area/alaska%20native%20area/hawaiian%20home%20land:{}%20state%20(or%20part):{}
280a,for=american%20indian%20area/alaska%20native%20area/hawaiian%20home%20land%20(or%20part):{}&in=state:{}
280b,for=american%20indian%20area/alaska%20native%20area/hawaiian%20home%20land%20(or%20part):{}&in=state:{}
283a,for=american%20indian%20area/alaska%20native%20area%20(reservation%20or%20statistical%20entity%20only)%20(or%20part):{}&in=state:{}%20american%20indian%20area/alaska%20native%20area/hawaiian%20home%20land%20(or%20part):{}
283b,for=american%20indian%20area/alaska%20native%20area%20(reservation%20or%20statistical%20entity%20only)%20(or%20part):{}&in=state:{}%20american%20indian%20area/alaska%20native%20area/hawaiian%20home%20land%20(or%20part):{}
286a,for=american%20indian%20area%20(off-reservation%20trust%20land%20only)/hawaiian%20home%20land%20(or%20part):{}&in=state:{}%20american%20indian%20area/alaska%20native%20area/hawaiian%20home%20land%20(or%20part):{}
286b,for=american%20indian%20area%20(off-reservation%20trust%20land%20only)/hawaiian%20home%20land%20(or%20part):{}&in=state:{}%20american%20indian%20area/alaska%20native%20area/hawaiian%20home%20land%20(or%20part):{}
290a,for=state%20(or%20part):{}&in=american%20indian%20area/alaska%20native%20area/hawaiian%20home%20land:{}%20american%20indian%20tribal%20subdivision:{}
290b,for=state%20(or%20part):{}&in=american%20indian%20area/alaska%20native%20area/hawaiian%20home%20land:{}%20american%20indian%20tribal%20subdivision:{}
291a,for=tribal%20census%20tract%20(or%20part):{}&in=american%20indian%20area/alaska%20native%20area/hawaiian%20home%20land:{}%20american%20indian%20area/alaska%20native%20area%20(reservation%20or%20statistical%20entity%20only):{}
291b,for=tribal%20census%20tract%20(or%20part):{}&in=american%20indian%20area/alaska%20native%20area/hawaiian%20home%20land:{}%20american%20indian%20area/alaska%20native%20area%20(reservation%20or%20statistical%20entity%20only):{}
292a,for=tribal%20census%20tract%20(or%20part):{}&in=american%20indian%20area/alaska%20native%20area/hawaiian%20home%20land:{}%20american%20indian%20area%20(off-reservation%20trust%20land%20only)/hawaiian%20home%20land:{}
292b,for=tribal%20census%20tract%20(or%20part):{}&in=american%20indian%20area/alaska%20native%20area/hawaiian%20home%20land:{}%20american%20indian%20area%20(off-reservation%20trust%20land%20only)/hawaiian%20home%20land:{}
310a,for=metropolitan%20statistical%20area/micropolitan%20statistical%20area:{}
310b,for=metropolitan%20statistical%20area/micropolitan%20statistical%20area:{}
311a,for=state%20(or%20part):{}&in=metropolitan%20statistical%20area/micropolitan%20statistical%20area:{}
311b,for=state%20(or%20part):{}&in=metropolitan%20statistical%20area/micropolitan%20statistical%20area:{}
312a,for=principal%20city%20(or%20part):{}&in=metropolitan%20statistical%20area/micropolitan%20statistical%20area:{}%20state%20(or%20part):{}
312b,for=principal%20city%20(or%20part):{}&in=metropolitan%20statistical%20area/micropolitan%20statistical%20area:{}%20state%20(or%20part):{}
313a,for=county:{}&in=metropolitan%20statistical%20area/micropolitan%20statistical%20area:{}%20state%20(or%20part):{}
313b,for=county:{}&in=metropolitan%20statistical%20area/micropolitan%20statistical%20area:{}%20state%20(or%20part):{}
314a,for=metropolitan%20division:{}&in=metropolitan%20statistical%20area/micropolitan%20statistical%20area:{}
314b,for=metropolitan%20division:{}&in=metropolitan%20statistical%20area/micropolitan%20statistical%20area:{}
315a,for=state%20(or%20part):{}&in=metropolitan%20statistical%20area/micropolitan%20statistical%20area:{}%20metropolitan%20division:{}
315b,for=state%20(or%20part):{}&in=metropolitan%20statistical%20area/micropolitan%20statistical%20area:{}%20metropolitan%20division:{}
316a,for=county:{}&in=metropolitan%20statistical%20area/micropolitan%20statistical%20area:{}%20metropolitan%20division:{}%20state%20(or%20part):{}
316b,for=county:{}&in=metropolitan%20statistical%20area/micropolitan%20statistical%20area:{}%20metropolitan%20division:{}%20state%20(or%20part):{}
320a,for=metropolitan%20statistical%20area/micropolitan%20statistical%20area%20(or%20part):{}&in=state:{}
320b,for=metropolitan%20statistical%20area/micropolitan%20statistical%20area%20(or%20part):{}&in=state:{}
